               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.12271,             0.12461,                   0,             0.67617,              0.1461,             0.40155,             0.23616,             0.14839,             0.08551,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,             0.12307,             0.12156,                   0,             0.63833,              0.1549,              0.3845,             0.22201,             0.14881,            0.090037,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,             0.12336,              0.1239,                   0,             0.78344,             0.09721,             0.43606,              0.2686,             0.14769,            0.081184,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,             0.12204,             0.13479,                   0,             0.73645,             0.10608,             0.41535,             0.25131,             0.14787,            0.081328,                   0,            0.009611,            0.009611,            0.009611
                  42,             0.12161,              0.1271,                   0,              0.5608,             0.11862,             0.32916,             0.18781,             0.14779,            0.083653,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,             0.12295,             0.12638,                   0,             0.72059,             0.12207,             0.41581,             0.24857,             0.14812,            0.084331,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,             0.12144,             0.12939,                   0,             0.72961,             0.12572,             0.42239,              0.2554,             0.14759,            0.082582,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,             0.12238,              0.1308,                   0,             0.76437,            0.087432,             0.42144,             0.25717,             0.14835,             0.08032,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,             0.12178,             0.12307,                   0,             0.71841,             0.13082,             0.41739,              0.2489,             0.14841,            0.084202,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,             0.12079,             0.12636,                   0,             0.75698,             0.11927,             0.43248,             0.26279,             0.14872,            0.081944,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,             0.12165,             0.13333,                   0,             0.68703,             0.11734,             0.39627,             0.23345,             0.14845,            0.083859,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,             0.12042,             0.12663,                   0,             0.70263,             0.16163,             0.42599,             0.25718,             0.14847,            0.086609,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,             0.11881,             0.13371,                   0,             0.74577,             0.11233,             0.42277,             0.25569,             0.14854,            0.082445,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,             0.12177,              0.1298,                   0,             0.67705,             0.15264,              0.4088,              0.2427,             0.14847,            0.087182,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,             0.12055,             0.13263,                   0,             0.75295,             0.10218,             0.42411,             0.26218,             0.14859,            0.080152,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,             0.12101,             0.13325,                   0,             0.60261,             0.16155,             0.37041,             0.21852,             0.14853,            0.091095,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,             0.11908,             0.12147,                   0,             0.66143,             0.19713,             0.42046,             0.24894,             0.14915,            0.093941,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,             0.12264,              0.1259,                   0,              0.7071,             0.17914,              0.4357,              0.2619,             0.14894,            0.088287,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,             0.11958,             0.12525,                   0,             0.71337,             0.18283,             0.44161,             0.26672,             0.14895,            0.088644,                   0,            0.009274,            0.009274,            0.009274
                  57,             0.11856,             0.12611,                   0,             0.74001,             0.12174,             0.42466,             0.25476,             0.14897,            0.085426,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,                0.12,             0.12839,                   0,             0.72425,             0.17104,             0.44213,             0.26667,             0.14841,            0.087836,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,             0.12062,             0.13116,                   0,             0.73438,             0.16369,              0.4436,             0.27117,             0.14872,              0.0868,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,             0.11842,             0.12399,                   0,             0.75249,             0.13678,             0.44021,              0.2702,             0.14905,            0.082872,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,             0.12079,             0.13495,                   0,              0.7123,             0.18961,             0.44319,             0.27034,              0.1491,            0.089699,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,             0.12002,             0.12491,                   0,             0.69414,             0.19311,              0.4343,             0.25926,             0.14933,            0.092962,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,             0.11879,             0.12398,                   0,             0.71895,             0.17836,             0.44186,             0.26883,              0.1488,            0.089585,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,             0.11933,              0.1283,                   0,             0.72644,             0.16529,             0.44051,             0.26509,             0.14896,            0.084089,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,             0.11953,             0.12495,                   0,             0.69277,             0.14795,             0.41081,             0.24493,             0.14935,            0.088817,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,             0.12012,             0.12906,                   0,             0.70704,             0.18086,             0.43594,              0.2616,             0.14857,            0.089268,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,             0.12063,             0.13284,                   0,             0.72634,             0.18288,                0.45,             0.27475,             0.14885,             0.08813,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,             0.11889,             0.12574,                   0,             0.71448,             0.17581,              0.4386,             0.26631,             0.14893,            0.089588,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,             0.11915,             0.12629,                   0,              0.6985,             0.19894,             0.44131,             0.26787,             0.14881,            0.090635,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,             0.11878,             0.13312,                   0,             0.69975,             0.19467,             0.43871,             0.26444,             0.14892,            0.091464,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,             0.11772,             0.12465,                   0,             0.69718,             0.17679,             0.42819,             0.25801,             0.14968,            0.092434,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,             0.11734,             0.12043,                   0,              0.7222,             0.18702,             0.44884,              0.2746,             0.14929,             0.08923,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,             0.11856,             0.12413,                   0,             0.73066,             0.16841,             0.44293,             0.27127,             0.14909,            0.087239,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,             0.11691,             0.12037,                   0,              0.7222,             0.18148,             0.44592,             0.27318,             0.14939,            0.088975,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,             0.11877,             0.12588,                   0,             0.73518,             0.17577,             0.45075,             0.27782,              0.1493,            0.087504,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,             0.11962,             0.13226,                   0,             0.72605,             0.12207,             0.42023,             0.25684,             0.14813,            0.086482,                   0,            0.008682,            0.008682,            0.008682
                  77,             0.11995,             0.12788,                   0,             0.70942,              0.1952,             0.44581,             0.27247,              0.1489,            0.088632,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,             0.11854,             0.11983,                   0,             0.70878,              0.1807,             0.43778,             0.27018,             0.14856,            0.087527,                   0,           0.0086146,           0.0086146,           0.0086146
