epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,9033.86,0.0201,1.98325,2.04758,0.57945,0.46103,0.48823,0.29806,0.01897,1.93193,2.02304,0.00874,0.00874,0.00874
44,9243.72,0.02016,1.97704,2.04134,0.58466,0.46519,0.4921,0.3004,0.01894,1.91467,2.0219,0.00871,0.00871,0.00871
45,9453.66,0.02008,1.97339,2.04263,0.57449,0.46419,0.49186,0.30085,0.01894,1.91435,2.02116,0.00868,0.00868,0.00868
46,9663.65,0.02007,1.96374,2.04543,0.58021,0.46802,0.49532,0.30294,0.01891,1.90418,2.01957,0.00865,0.00865,0.00865
47,9873.74,0.02005,1.95794,2.03624,0.57733,0.46838,0.49569,0.30257,0.01889,1.8984,2.01957,0.00862,0.00862,0.00862
48,10084.8,0.0199,1.94261,2.03536,0.58915,0.46241,0.49544,0.30184,0.01877,1.90065,2.01491,0.00859,0.00859,0.00859
49,10294.9,0.01992,1.93006,2.03026,0.59616,0.47013,0.49928,0.30671,0.01878,1.89659,2.01559,0.00856,0.00856,0.00856
50,10504.9,0.01997,1.92563,2.03201,0.60333,0.46768,0.50269,0.30838,0.0188,1.88391,2.01566,0.00853,0.00853,0.00853
51,10714.8,0.01983,1.91549,2.02702,0.59598,0.47446,0.50329,0.30898,0.01876,1.87604,2.01339,0.0085,0.0085,0.0085
52,10924.9,0.01976,1.90361,2.02635,0.5972,0.47551,0.50674,0.31049,0.01871,1.87325,2.0133,0.00847,0.00847,0.00847
53,11134.7,0.01986,1.91216,2.02726,0.59131,0.47685,0.50743,0.31051,0.01872,1.86902,2.01113,0.00844,0.00844,0.00844
54,11344.5,0.01978,1.89892,2.02334,0.59247,0.48273,0.50811,0.3132,0.01869,1.86548,2.00965,0.00841,0.00841,0.00841
55,11554.5,0.01973,1.89157,2.02309,0.59499,0.48079,0.51018,0.31287,0.01867,1.85913,2.00826,0.00838,0.00838,0.00838
56,11764.1,0.01978,1.88868,2.01941,0.6029,0.47685,0.50976,0.31347,0.01864,1.85854,2.00714,0.00835,0.00835,0.00835
57,11974.3,0.0197,1.87727,2.02052,0.58903,0.48223,0.51046,0.3131,0.01866,1.85774,2.008,0.00832,0.00832,0.00832
