               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,              0.1047,            0.049382,                   0,             0.65447,             0.15954,             0.39966,             0.23941,             0.13418,            0.034119,                   0,           0.0096664,           0.0096664,           0.0096664
                  39,             0.10582,            0.055066,                   0,             0.59489,             0.22655,              0.3996,             0.23472,             0.13427,            0.037047,                   0,           0.0096484,           0.0096484,           0.0096484
                  40,             0.10517,            0.055865,                   0,             0.58569,             0.22762,             0.39518,             0.23357,             0.13522,            0.036145,                   0,           0.0096299,           0.0096299,           0.0096299
                  41,             0.10583,            0.056954,                   0,             0.64478,             0.17392,             0.40295,             0.24348,             0.13403,            0.035683,                   0,            0.009611,            0.009611,            0.009611
                  42,             0.10498,             0.05248,                   0,             0.63423,             0.19471,             0.40685,             0.24494,             0.13524,            0.035218,                   0,           0.0095916,           0.0095916,           0.0095916
                  43,             0.10554,            0.051526,                   0,             0.57847,             0.21792,             0.38708,              0.2273,             0.13447,            0.037374,                   0,           0.0095717,           0.0095717,           0.0095717
                  44,              0.1046,             0.05383,                   0,             0.64026,             0.20153,             0.40854,             0.24609,             0.13454,             0.03566,                   0,           0.0095514,           0.0095514,           0.0095514
                  45,             0.10476,            0.051738,                   0,             0.64287,             0.19828,             0.41112,             0.24768,             0.13517,            0.035275,                   0,           0.0095307,           0.0095307,           0.0095307
                  46,             0.10389,            0.053674,                   0,             0.60479,             0.19919,             0.39189,              0.2324,             0.13504,            0.035702,                   0,           0.0095095,           0.0095095,           0.0095095
                  47,             0.10454,            0.057364,                   0,             0.66456,             0.14701,             0.40122,             0.24599,             0.13363,            0.035903,                   0,           0.0094879,           0.0094879,           0.0094879
                  48,             0.10386,            0.051021,                   0,             0.67661,             0.17527,             0.41843,             0.25724,             0.13469,            0.034444,                   0,           0.0094659,           0.0094659,           0.0094659
                  49,             0.10351,            0.051312,                   0,             0.58416,             0.25395,             0.40759,             0.24048,             0.13533,            0.036422,                   0,           0.0094434,           0.0094434,           0.0094434
                  50,             0.10382,            0.057032,                   0,             0.56836,             0.21846,             0.38011,             0.22612,             0.13449,             0.03784,                   0,           0.0094205,           0.0094205,           0.0094205
                  51,             0.10487,            0.057087,                   0,             0.67207,             0.18407,             0.41741,             0.25058,             0.13512,            0.035105,                   0,           0.0093971,           0.0093971,           0.0093971
                  52,             0.10243,            0.050145,                   0,             0.63662,             0.22955,             0.42362,             0.25547,             0.13461,            0.036762,                   0,           0.0093733,           0.0093733,           0.0093733
                  53,             0.10302,            0.051742,                   0,             0.61689,             0.25716,             0.42509,             0.25349,             0.13581,             0.03664,                   0,           0.0093491,           0.0093491,           0.0093491
                  54,             0.10282,            0.050191,                   0,             0.65645,             0.21817,             0.42706,             0.25886,             0.13539,            0.035643,                   0,           0.0093245,           0.0093245,           0.0093245
                  55,             0.10302,            0.054304,                   0,             0.52271,             0.30683,             0.40211,              0.2348,             0.13722,            0.039802,                   0,           0.0092995,           0.0092995,           0.0092995
                  56,             0.10325,            0.052452,                   0,             0.58693,             0.27047,             0.41731,             0.24657,             0.13582,            0.038108,                   0,            0.009274,            0.009274,            0.009274
                  57,             0.10354,            0.054689,                   0,             0.61406,             0.25704,             0.42148,             0.24995,             0.13607,            0.036212,                   0,           0.0092481,           0.0092481,           0.0092481
                  58,             0.10407,            0.052745,                   0,             0.66423,             0.23164,             0.44029,             0.26714,             0.13661,            0.034938,                   0,           0.0092219,           0.0092219,           0.0092219
                  59,             0.10276,            0.055258,                   0,             0.61667,             0.25354,             0.42451,             0.25452,             0.13414,            0.038672,                   0,           0.0091952,           0.0091952,           0.0091952
                  60,             0.10257,            0.051103,                   0,              0.5656,             0.26603,             0.39918,             0.23265,             0.13707,            0.036445,                   0,           0.0091681,           0.0091681,           0.0091681
                  61,             0.10367,            0.054622,                   0,             0.59216,             0.28617,             0.42998,             0.25386,             0.13618,            0.037163,                   0,           0.0091406,           0.0091406,           0.0091406
                  62,              0.1015,            0.049272,                   0,             0.67788,             0.22938,             0.44468,             0.26912,             0.13649,             0.03473,                   0,           0.0091127,           0.0091127,           0.0091127
                  63,             0.10274,            0.054043,                   0,             0.61005,             0.25087,             0.42061,             0.24925,             0.13561,             0.03702,                   0,           0.0090844,           0.0090844,           0.0090844
                  64,             0.10261,            0.053237,                   0,             0.69972,             0.18813,             0.43875,              0.2681,             0.13578,            0.034723,                   0,           0.0090557,           0.0090557,           0.0090557
                  65,             0.10269,            0.055084,                   0,             0.65537,             0.24713,             0.43996,              0.2643,             0.13643,            0.035851,                   0,           0.0090266,           0.0090266,           0.0090266
                  66,             0.10268,            0.048498,                   0,             0.62302,             0.25802,             0.43104,             0.25766,             0.13589,            0.036614,                   0,           0.0089972,           0.0089972,           0.0089972
                  67,             0.10275,            0.050422,                   0,             0.63933,             0.26102,             0.44105,             0.26535,             0.13548,            0.036749,                   0,           0.0089673,           0.0089673,           0.0089673
                  68,             0.10014,            0.051083,                   0,             0.63106,             0.26796,             0.43944,             0.26259,             0.13621,            0.037009,                   0,           0.0089371,           0.0089371,           0.0089371
                  69,             0.10091,            0.049157,                   0,             0.60554,              0.2837,             0.43256,             0.25625,              0.1374,            0.036551,                   0,           0.0089065,           0.0089065,           0.0089065
                  70,             0.10256,            0.055238,                   0,             0.61978,             0.26234,             0.43305,             0.25734,             0.13655,            0.037472,                   0,           0.0088755,           0.0088755,           0.0088755
                  71,             0.10107,            0.050175,                   0,             0.58124,             0.29968,             0.42608,             0.25146,             0.13645,            0.037768,                   0,           0.0088442,           0.0088442,           0.0088442
                  72,             0.10173,            0.055929,                   0,              0.6259,              0.1436,             0.37802,             0.22647,             0.13895,            0.029835,                   0,           0.0088124,           0.0088124,           0.0088124
                  73,             0.10235,            0.050054,                   0,             0.58504,             0.30046,             0.43261,              0.2545,             0.13642,            0.039364,                   0,           0.0087804,           0.0087804,           0.0087804
                  74,             0.10216,            0.055216,                   0,             0.61963,             0.28539,             0.44186,             0.26409,             0.13616,            0.037229,                   0,           0.0087479,           0.0087479,           0.0087479
                  75,             0.10169,            0.051084,                   0,             0.61366,             0.27285,              0.4336,             0.25971,             0.13724,            0.037491,                   0,           0.0087151,           0.0087151,           0.0087151
                  76,             0.10099,             0.04948,                   0,              0.6319,             0.28177,             0.44908,             0.27187,             0.13662,            0.037356,                   0,            0.008682,            0.008682,            0.008682
                  77,             0.10197,            0.054727,                   0,              0.6361,             0.28267,             0.44894,             0.26976,             0.13556,            0.037621,                   0,           0.0086485,           0.0086485,           0.0086485
                  78,             0.10182,             0.05426,                   0,             0.65715,             0.26579,             0.45129,             0.27241,             0.13704,            0.035345,                   0,           0.0086146,           0.0086146,           0.0086146
                  79,             0.10036,            0.048951,                   0,             0.62184,             0.29369,             0.44862,             0.26985,             0.13646,            0.036898,                   0,           0.0085805,           0.0085805,           0.0085805
                  80,             0.10013,            0.048438,                   0,             0.63693,             0.29393,             0.45714,             0.27568,              0.1366,            0.038195,                   0,           0.0085459,           0.0085459,           0.0085459
                  81,             0.10091,            0.049509,                   0,             0.64444,             0.27918,             0.45277,             0.27282,             0.13591,            0.037959,                   0,           0.0085111,           0.0085111,           0.0085111
                  82,             0.10118,            0.050291,                   0,             0.66715,             0.26238,             0.45671,             0.27682,             0.13601,            0.036542,                   0,           0.0084759,           0.0084759,           0.0084759
                  83,             0.10003,            0.049052,                   0,             0.64372,             0.28083,             0.45284,             0.27127,             0.13699,            0.036496,                   0,           0.0084404,           0.0084404,           0.0084404
                  84,            0.099111,            0.048462,                   0,             0.64295,             0.29512,             0.45895,             0.27353,             0.13632,            0.038086,                   0,           0.0084046,           0.0084046,           0.0084046
                  85,             0.09989,            0.051137,                   0,             0.64456,             0.27314,             0.44542,             0.26731,              0.1367,            0.037371,                   0,           0.0083684,           0.0083684,           0.0083684
                  86,            0.099997,            0.050565,                   0,             0.64707,             0.29673,             0.46455,             0.28008,             0.13714,            0.037349,                   0,           0.0083319,           0.0083319,           0.0083319
                  87,              0.1014,            0.054685,                   0,             0.64904,             0.28995,             0.46231,              0.2777,             0.13619,            0.038318,                   0,           0.0082952,           0.0082952,           0.0082952
                  88,            0.099681,            0.052219,                   0,             0.65643,             0.26862,             0.45393,             0.27434,             0.13599,            0.037994,                   0,           0.0082581,           0.0082581,           0.0082581
                  89,             0.10033,            0.053422,                   0,             0.63884,             0.29935,             0.45966,             0.27597,             0.13767,            0.036897,                   0,           0.0082207,           0.0082207,           0.0082207
