epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1139.17,0.01845,1.49068,1.16519,0.47785,0.26125,0.2587,0.07994,0.01751,1.56788,1.10819,0.00871,0.00871,0.00871
45,1165.19,0.01825,1.53258,1.15678,0.44646,0.24463,0.23402,0.06981,0.0179,1.56464,1.10932,0.00868,0.00868,0.00868
46,1191.16,0.01824,1.46578,1.15551,0.48373,0.26801,0.25845,0.08071,0.01775,1.54776,1.10736,0.00865,0.00865,0.00865
47,1216.86,0.01839,1.49049,1.12642,0.48753,0.25667,0.26112,0.07915,0.01794,1.62599,1.10593,0.00862,0.00862,0.00862
48,1242.62,0.01789,1.45354,1.16808,0.47894,0.26661,0.24795,0.07737,0.01756,1.54194,1.11251,0.00859,0.00859,0.00859
49,1268.34,0.01812,1.4486,1.15179,0.49916,0.26694,0.26542,0.08397,0.01745,1.52321,1.10574,0.00856,0.00856,0.00856
50,1294.24,0.0181,1.5255,1.15856,0.44604,0.23604,0.22128,0.06579,0.01843,1.6658,1.12183,0.00853,0.00853,0.00853
51,1320.09,0.01764,1.4122,1.16133,0.49942,0.25575,0.27587,0.08677,0.01778,1.62073,1.12258,0.0085,0.0085,0.0085
52,1345.8,0.01776,1.43216,1.12801,0.48344,0.26805,0.27328,0.08568,0.01751,1.50616,1.10606,0.00847,0.00847,0.00847
53,1371.46,0.0176,1.4098,1.13492,0.48751,0.27339,0.26225,0.08075,0.01748,1.52385,1.10887,0.00844,0.00844,0.00844
54,1397.32,0.01788,1.42487,1.12727,0.48572,0.27577,0.26286,0.08131,0.01741,1.50743,1.09267,0.00841,0.00841,0.00841
55,1423.19,0.01792,1.43102,1.14902,0.48474,0.27351,0.27589,0.08523,0.01777,1.53564,1.11106,0.00838,0.00838,0.00838
56,1448.94,0.01753,1.42075,1.15218,0.49521,0.2699,0.25966,0.07996,0.01748,1.53643,1.09584,0.00835,0.00835,0.00835
57,1474.72,0.01768,1.38627,1.14023,0.48916,0.2761,0.27436,0.08619,0.01731,1.45346,1.10031,0.00832,0.00832,0.00832
58,1500.44,0.01751,1.40204,1.14345,0.50942,0.28226,0.27236,0.08527,0.01715,1.51412,1.08917,0.00829,0.00829,0.00829
59,1526.43,0.01796,1.40164,1.12885,0.5053,0.28365,0.28379,0.08904,0.01729,1.5153,1.09353,0.00826,0.00826,0.00826
60,1552.41,0.01783,1.406,1.12622,0.46118,0.24574,0.22571,0.06685,0.01796,1.59979,1.09723,0.00823,0.00823,0.00823
61,1578.18,0.01738,1.37512,1.12439,0.50451,0.28444,0.28756,0.09173,0.01725,1.50353,1.10485,0.0082,0.0082,0.0082
62,1604.14,0.01734,1.37624,1.13022,0.48087,0.26324,0.25886,0.07923,0.01762,1.55578,1.10026,0.00817,0.00817,0.00817
63,1629.88,0.01724,1.35428,1.10709,0.48456,0.27199,0.27265,0.08689,0.01726,1.44991,1.10789,0.00814,0.00814,0.00814
64,1655.82,0.01748,1.35484,1.12535,0.50966,0.28621,0.28022,0.08785,0.01718,1.45583,1.09294,0.00811,0.00811,0.00811
65,1681.67,0.01711,1.33709,1.12631,0.49572,0.28304,0.28571,0.09018,0.01728,1.48193,1.10474,0.00808,0.00808,0.00808
66,1707.34,0.01705,1.34002,1.10235,0.50454,0.29122,0.28281,0.08982,0.01705,1.45671,1.09032,0.00805,0.00805,0.00805
67,1732.97,0.01684,1.30004,1.12854,0.5073,0.29414,0.27866,0.08919,0.01708,1.48692,1.09689,0.00802,0.00802,0.00802
68,1758.82,0.01708,1.32413,1.10591,0.502,0.28246,0.27098,0.08461,0.01728,1.5158,1.09271,0.00799,0.00799,0.00799
69,1784.61,0.01717,1.36606,1.12022,0.50201,0.29011,0.28167,0.08878,0.01707,1.50659,1.09021,0.00796,0.00796,0.00796
70,1810.18,0.01671,1.31209,1.11146,0.50208,0.29175,0.28259,0.08855,0.01712,1.44505,1.09238,0.00793,0.00793,0.00793
71,1835.9,0.0172,1.32082,1.10155,0.51854,0.29586,0.28729,0.0916,0.01723,1.47684,1.09571,0.0079,0.0079,0.0079
72,1861.66,0.01712,1.34664,1.11452,0.47732,0.27526,0.25357,0.07812,0.01765,1.55306,1.1041,0.00787,0.00787,0.00787
73,1887.44,0.01716,1.35451,1.10311,0.52887,0.2943,0.29089,0.0919,0.01719,1.48996,1.09558,0.00784,0.00784,0.00784
74,1913.48,0.01703,1.30386,1.10237,0.48489,0.27979,0.2676,0.08202,0.01743,1.5028,1.09751,0.00781,0.00781,0.00781
75,1939.26,0.01697,1.31314,1.10542,0.52274,0.30186,0.29945,0.09571,0.017,1.45417,1.09311,0.00778,0.00778,0.00778
76,1965.1,0.01695,1.32744,1.09975,0.52198,0.29669,0.29993,0.09805,0.01685,1.47392,1.08968,0.00775,0.00775,0.00775
77,1990.91,0.01687,1.30772,1.09489,0.52081,0.29562,0.28797,0.0915,0.01708,1.47595,1.09514,0.00772,0.00772,0.00772
78,2016.81,0.01679,1.2735,1.09731,0.50083,0.28638,0.27602,0.08811,0.01703,1.47554,1.09571,0.00769,0.00769,0.00769
79,2042.57,0.01702,1.30683,1.08989,0.51759,0.29788,0.29826,0.09546,0.01709,1.47898,1.09304,0.00766,0.00766,0.00766
